2024-09-25 02:11:32 | INFO | stdout | /root/project/hw-chat-0.4/logs
2024-09-25 02:11:40 | INFO | stdout | /root/project/hw-chat-0.4/logs
2024-09-25 02:11:46 | INFO | controller | 正在启动服务：
2024-09-25 02:11:46 | INFO | controller | 如需查看 服务日志 日志，请前往 /root/project/hw-chat-0.4/logs
2024-09-25 02:11:46 | INFO | stdout | /root/project/hw-chat-0.4/logs
2024-09-25 02:11:52 | ERROR | stderr | [32mINFO[0m:     Started server process [[36m7657[0m]
2024-09-25 02:11:52 | ERROR | stderr | [32mINFO[0m:     Waiting for application startup.
2024-09-25 02:11:52 | ERROR | stderr | [32mINFO[0m:     Application startup complete.
2024-09-25 02:11:52 | ERROR | stderr | [32mINFO[0m:     Uvicorn running on [1mhttp://0.0.0.0:20001[0m (Press CTRL+C to quit)
2024-09-25 02:11:53 | INFO | stdout | /root/project/hw-chat-0.4/logs
2024-09-25 02:11:53 | INFO | stdout | /root/project/hw-chat-0.4/logs
2024-09-25 02:11:53 | INFO | stdout | /root/project/hw-chat-0.4/logs
2024-09-25 02:11:59 | INFO | controller | Register a new worker: http://127.0.0.1:21001
2024-09-25 02:11:59 | INFO | controller | Register done: http://127.0.0.1:21001, {'model_names': ['zhipu-api'], 'speed': 1, 'queue_length': 0}
2024-09-25 02:11:59 | INFO | stdout | [32mINFO[0m:     127.0.0.1:47684 - "[1mPOST /register_worker HTTP/1.1[0m" [32m200 OK[0m
2024-09-25 02:11:59 | ERROR | stderr | [32mINFO[0m:     Started server process [[36m7702[0m]
2024-09-25 02:11:59 | ERROR | stderr | [32mINFO[0m:     Waiting for application startup.
2024-09-25 02:11:59 | ERROR | stderr | [32mINFO[0m:     Application startup complete.
2024-09-25 02:11:59 | ERROR | stderr | [32mINFO[0m:     Uvicorn running on [1mhttp://0.0.0.0:20000[0m (Press CTRL+C to quit)
2024-09-25 02:12:00 | ERROR | stderr | Loading checkpoint shards:   0%|                                                | 0/7 [00:00<?, ?it/s]
2024-09-25 02:12:00 | ERROR | stderr | Loading checkpoint shards:  14%|█████▋                                  | 1/7 [00:00<00:02,  2.93it/s]
2024-09-25 02:12:00 | ERROR | stderr | Loading checkpoint shards:  29%|███████████▍                            | 2/7 [00:00<00:01,  2.96it/s]
2024-09-25 02:12:01 | ERROR | stderr | Loading checkpoint shards:  43%|█████████████████▏                      | 3/7 [00:01<00:01,  2.97it/s]
2024-09-25 02:12:01 | ERROR | stderr | Loading checkpoint shards:  57%|██████████████████████▊                 | 4/7 [00:01<00:01,  2.98it/s]
2024-09-25 02:12:01 | ERROR | stderr | Loading checkpoint shards:  71%|████████████████████████████▌           | 5/7 [00:01<00:00,  2.97it/s]
2024-09-25 02:12:02 | ERROR | stderr | Loading checkpoint shards:  86%|██████████████████████████████████▎     | 6/7 [00:02<00:00,  2.98it/s]
2024-09-25 02:12:02 | ERROR | stderr | Loading checkpoint shards: 100%|████████████████████████████████████████| 7/7 [00:02<00:00,  3.13it/s]
2024-09-25 02:12:02 | ERROR | stderr | Loading checkpoint shards: 100%|████████████████████████████████████████| 7/7 [00:02<00:00,  3.04it/s]
2024-09-25 02:12:02 | ERROR | stderr | 
2024-09-25 02:12:03 | INFO | controller | Register a new worker: http://127.0.0.1:20002
